Day,Date,Theme,Role,Daily Focus,Tasks (bullet),Deliverable
30,2026-02-14,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create “done-for-you” service packages and internal SOPs,"Create “done-for-you” service packages and internal SOPs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
31,2026-02-15,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Run daily smoke tests and log bugs with repro steps,"Run daily smoke tests and log bugs with repro steps • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
32,2026-02-16,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit on backend tickets when blockers appear,"Assist Smit on backend tickets when blockers appear • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
33,2026-02-17,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Draft 5 ad scripts EN + FR + shotlists and posting plan,"Draft 5 ad scripts EN + FR + shotlists and posting plan • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
34,2026-02-18,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create “done-for-you” service packages and internal SOPs,"Create “done-for-you” service packages and internal SOPs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
35,2026-02-19,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Run daily smoke tests and log bugs with repro steps,"Run daily smoke tests and log bugs with repro steps • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
36,2026-02-20,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with analytics verification and event naming,"Assist Smit with analytics verification and event naming • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
37,2026-02-21,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
38,2026-02-22,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up monthly highlights workflow: hot books/authors content ops,"Set up monthly highlights workflow: hot books/authors content ops • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
39,2026-02-23,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Build outreach templates (email/DM) by channel and audience,"Build outreach templates (email/DM) by channel and audience • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
40,2026-02-24,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with analytics verification and event naming,"Assist Smit with analytics verification and event naming • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
41,2026-02-25,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
42,2026-02-26,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up monthly highlights workflow: hot books/authors content ops,"Set up monthly highlights workflow: hot books/authors content ops • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
43,2026-02-27,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Build outreach templates (email/DM) by channel and audience,"Build outreach templates (email/DM) by channel and audience • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
44,2026-02-28,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with analytics verification and event naming,"Assist Smit with analytics verification and event naming • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
45,2026-03-01,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
46,2026-03-02,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up monthly highlights workflow: hot books/authors content ops,"Set up monthly highlights workflow: hot books/authors content ops • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
47,2026-03-03,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Build outreach templates (email/DM) by channel and audience,"Build outreach templates (email/DM) by channel and audience • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
48,2026-03-04,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with analytics verification and event naming,"Assist Smit with analytics verification and event naming • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
49,2026-03-05,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
50,2026-03-06,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up monthly highlights workflow: hot books/authors content ops,"Set up monthly highlights workflow: hot books/authors content ops • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
51,2026-03-07,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Build outreach templates (email/DM) by channel and audience,"Build outreach templates (email/DM) by channel and audience • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
52,2026-03-08,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with analytics verification and event naming,"Assist Smit with analytics verification and event naming • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
53,2026-03-09,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy","Curate viral widget ideas (leaderboards, share-to-win, badges) and copy • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
54,2026-03-10,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up monthly highlights workflow: hot books/authors content ops,"Set up monthly highlights workflow: hot books/authors content ops • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
55,2026-03-11,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Build outreach templates (email/DM) by channel and audience,"Build outreach templates (email/DM) by channel and audience • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
56,2026-03-12,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with analytics verification and event naming,"Assist Smit with analytics verification and event naming • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
57,2026-03-13,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Validate pricing, revenue streams, and forecast assumptions in docs","Validate pricing, revenue streams, and forecast assumptions in docs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
58,2026-03-14,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Test payment flows (sandbox), webhook handling, refunds/cancellations","Test payment flows (sandbox), webhook handling, refunds/cancellations • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
59,2026-03-15,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Set up support desk workflows: tickets, SLAs, canned replies","Set up support desk workflows: tickets, SLAs, canned replies • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
60,2026-03-16,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with CI/CD troubleshooting or hotfix merges,"Assist Smit with CI/CD troubleshooting or hotfix merges • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
61,2026-03-17,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Validate pricing, revenue streams, and forecast assumptions in docs","Validate pricing, revenue streams, and forecast assumptions in docs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
62,2026-03-18,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Test payment flows (sandbox), webhook handling, refunds/cancellations","Test payment flows (sandbox), webhook handling, refunds/cancellations • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
63,2026-03-19,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Set up support desk workflows: tickets, SLAs, canned replies","Set up support desk workflows: tickets, SLAs, canned replies • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
64,2026-03-20,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with CI/CD troubleshooting or hotfix merges,"Assist Smit with CI/CD troubleshooting or hotfix merges • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
65,2026-03-21,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Validate pricing, revenue streams, and forecast assumptions in docs","Validate pricing, revenue streams, and forecast assumptions in docs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
66,2026-03-22,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Test payment flows (sandbox), webhook handling, refunds/cancellations","Test payment flows (sandbox), webhook handling, refunds/cancellations • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
67,2026-03-23,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Set up support desk workflows: tickets, SLAs, canned replies","Set up support desk workflows: tickets, SLAs, canned replies • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
68,2026-03-24,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with CI/CD troubleshooting or hotfix merges,"Assist Smit with CI/CD troubleshooting or hotfix merges • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
69,2026-03-25,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Validate pricing, revenue streams, and forecast assumptions in docs","Validate pricing, revenue streams, and forecast assumptions in docs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
70,2026-03-26,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Test payment flows (sandbox), webhook handling, refunds/cancellations","Test payment flows (sandbox), webhook handling, refunds/cancellations • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
71,2026-03-27,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Set up support desk workflows: tickets, SLAs, canned replies","Set up support desk workflows: tickets, SLAs, canned replies • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
72,2026-03-28,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with CI/CD troubleshooting or hotfix merges,"Assist Smit with CI/CD troubleshooting or hotfix merges • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
73,2026-03-29,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Validate pricing, revenue streams, and forecast assumptions in docs","Validate pricing, revenue streams, and forecast assumptions in docs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
74,2026-03-30,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Test payment flows (sandbox), webhook handling, refunds/cancellations","Test payment flows (sandbox), webhook handling, refunds/cancellations • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
75,2026-03-31,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Set up support desk workflows: tickets, SLAs, canned replies","Set up support desk workflows: tickets, SLAs, canned replies • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
76,2026-04-01,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit with CI/CD troubleshooting or hotfix merges,"Assist Smit with CI/CD troubleshooting or hotfix merges • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
77,2026-04-02,Payments + Automation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Validate pricing, revenue streams, and forecast assumptions in docs","Validate pricing, revenue streams, and forecast assumptions in docs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
