Day,Date,WeekTheme,FocusAreas,TopTasks,ExpectedDeliverable
14,2026-01-29,Core data,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Core data
15,2026-01-30,Campaign engine,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Campaign engine"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Campaign engine
16,2026-01-31,Campaign engine,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Campaign engine
17,2026-02-01,Campaign engine,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Campaign engine
18,2026-02-02,Campaign engine,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Campaign engine
19,2026-02-03,Campaign engine,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Campaign engine
20,2026-02-04,Campaign engine,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Campaign engine
21,2026-02-05,Campaign engine,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Campaign engine
22,2026-02-06,Payments,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Payments"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Payments
23,2026-02-07,Payments,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Payments
24,2026-02-08,Payments,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Payments
25,2026-02-09,Payments,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Payments
26,2026-02-10,Payments,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Payments
27,2026-02-11,Payments,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Payments
28,2026-02-12,Payments,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Payments
29,2026-02-13,Viral growth,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Viral growth"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Viral growth
30,2026-02-14,Viral growth,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Viral growth
31,2026-02-15,Viral growth,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Viral growth
32,2026-02-16,Viral growth,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Viral growth
33,2026-02-17,Viral growth,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Viral growth
34,2026-02-18,Viral growth,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Viral growth
35,2026-02-19,Viral growth,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Viral growth
36,2026-02-20,WhatsApp ops,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""WhatsApp ops"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for WhatsApp ops
37,2026-02-21,WhatsApp ops,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for WhatsApp ops
38,2026-02-22,WhatsApp ops,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for WhatsApp ops
39,2026-02-23,WhatsApp ops,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for WhatsApp ops
40,2026-02-24,WhatsApp ops,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for WhatsApp ops
41,2026-02-25,WhatsApp ops,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for WhatsApp ops
42,2026-02-26,WhatsApp ops,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for WhatsApp ops
43,2026-02-27,Video ads,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Video ads"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Video ads
44,2026-02-28,Video ads,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Video ads
45,2026-03-01,Video ads,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Video ads
46,2026-03-02,Video ads,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Video ads
47,2026-03-03,Video ads,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Video ads
48,2026-03-04,Video ads,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Video ads
49,2026-03-05,Video ads,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Video ads
50,2026-03-06,Analytics,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Analytics"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Analytics
51,2026-03-07,Analytics,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Analytics
52,2026-03-08,Analytics,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Analytics
53,2026-03-09,Analytics,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Analytics
54,2026-03-10,Analytics,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Analytics
55,2026-03-11,Analytics,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Analytics
56,2026-03-12,Analytics,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Analytics
57,2026-03-13,Security & legal,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Security & legal"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Security & legal
58,2026-03-14,Security & legal,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Security & legal
59,2026-03-15,Security & legal,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Security & legal
60,2026-03-16,Security & legal,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Security & legal
61,2026-03-17,Security & legal,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Security & legal
62,2026-03-18,Security & legal,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Security & legal
63,2026-03-19,Security & legal,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Security & legal
64,2026-03-20,QA hardening,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""QA hardening"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for QA hardening
65,2026-03-21,QA hardening,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for QA hardening
66,2026-03-22,QA hardening,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for QA hardening
67,2026-03-23,QA hardening,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for QA hardening
68,2026-03-24,QA hardening,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for QA hardening
69,2026-03-25,QA hardening,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for QA hardening
70,2026-03-26,QA hardening,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for QA hardening
71,2026-03-27,Partner rollout,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Partner rollout"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Partner rollout
72,2026-03-28,Partner rollout,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Partner rollout
73,2026-03-29,Partner rollout,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Partner rollout
74,2026-03-30,Partner rollout,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Partner rollout
75,2026-03-31,Partner rollout,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Partner rollout
76,2026-04-01,Partner rollout,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Partner rollout
77,2026-04-02,Partner rollout,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Partner rollout
78,2026-04-03,Launch prep,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Launch prep"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Launch prep
79,2026-04-04,Launch prep,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Launch prep
80,2026-04-05,Launch prep,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Launch prep
81,2026-04-06,Launch prep,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Launch prep
