group_name,language,region,genre,purpose,posting_rules,best_times_local,cooldown_hours
RP-Nigeria-Romance-Audiobook-001,fr,Nigeria,Romance,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Poetry-Launch-015,fr,India,Poetry,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Business-KDP Tips-016,fr,India,Business,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Fantasy-Newsletter-017,en,Global,Fantasy,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Faith-BookTok-018,fr,Cameroon,Faith,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Business-Review-019,en,Nigeria,Business,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Business-Giveaway-020,en,Canada,Business,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cote d'Ivoire-Romance-KDP Tips-021,fr,Cote d'Ivoire,Romance,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Kenya-Tech-Review-022,fr,Kenya,Tech,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Politics-KDP Tips-023,en,Cameroon,Politics,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Poetry-BookTube-024,fr,UK,Poetry,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Global-Health-Review-025,fr,Global,Health,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Faith-BookTok-026,en,US,Faith,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-History-BookTube-027,fr,South Africa,History,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-Self-Help-Launch-028,en,Global,Self-Help,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-History-KDP Tips-029,en,South Africa,History,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-Health-Giveaway-030,en,Global,Health,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Self-Help-Launch-031,en,Canada,Self-Help,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Business-BookTube-032,en,Nigeria,Business,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-History-Giveaway-033,en,South Africa,History,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Gabon-Poetry-BookTok-034,fr,Gabon,Poetry,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-History-Review-035,en,Nigeria,History,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-History-KDP Tips-036,fr,UK,History,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-Business-Launch-037,en,UK,Business,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-History-Giveaway-038,en,US,History,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Fantasy-Giveaway-039,en,Kenya,Fantasy,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-Finance-Newsletter-040,en,India,Finance,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Self-Help-Newsletter-041,en,UK,Self-Help,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Thriller-BookTube-042,en,US,Thriller,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-History-Audiobook-043,en,Canada,History,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-France-Poetry-Newsletter-044,fr,France,Poetry,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Poetry-Launch-045,en,Canada,Poetry,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Finance-KDP Tips-046,en,India,Finance,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Business-BookTok-047,fr,Nigeria,Business,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-Faith-Review-048,fr,South Africa,Faith,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Fantasy-KDP Tips-049,fr,US,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Faith-KDP Tips-050,fr,South Africa,Faith,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cote d'Ivoire-Romance-BookTok-051,fr,Cote d'Ivoire,Romance,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-History-Review-052,fr,Nigeria,History,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Politics-KDP Tips-053,en,US,Politics,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Fantasy-BookTube-054,fr,Gabon,Fantasy,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Poetry-Giveaway-055,fr,US,Poetry,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-Tech-Audiobook-056,en,UK,Tech,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Fantasy-Review-057,en,US,Fantasy,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-History-Launch-058,en,Kenya,History,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Health-Launch-059,fr,UK,Health,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Fantasy-KDP Tips-060,fr,India,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-Poetry-Newsletter-061,en,UK,Poetry,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cote d'Ivoire-Poetry-BookTube-062,fr,Cote d'Ivoire,Poetry,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Self-Help-Audiobook-063,fr,Cameroon,Self-Help,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Fantasy-Review-064,en,Kenya,Fantasy,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-History-Review-065,en,India,History,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Poetry-Launch-066,en,US,Poetry,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Romance-Review-067,fr,Nigeria,Romance,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-Tech-Audiobook-068,fr,Nigeria,Tech,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Poetry-KDP Tips-069,fr,South Africa,Poetry,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-History-Launch-070,en,South Africa,History,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-History-KDP Tips-071,fr,UK,History,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-Finance-Giveaway-072,fr,South Africa,Finance,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cameroon-Thriller-Launch-073,fr,Cameroon,Thriller,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Romance-BookTube-074,en,Canada,Romance,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Business-BookTube-075,en,Gabon,Business,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-France-Business-Review-076,en,France,Business,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Business-Launch-077,fr,US,Business,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-History-KDP Tips-078,en,India,History,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-France-Fantasy-Newsletter-079,fr,France,Fantasy,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-Romance-Review-080,fr,India,Romance,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-France-Faith-BookTube-081,en,France,Faith,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Finance-BookTube-082,fr,UK,Finance,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Fantasy-Newsletter-083,en,South Africa,Fantasy,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Fantasy-Giveaway-084,fr,South Africa,Fantasy,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cameroon-Thriller-Giveaway-085,en,Cameroon,Thriller,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cote d'Ivoire-Health-Review-086,fr,Cote d'Ivoire,Health,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Gabon-Fantasy-BookTok-087,en,Gabon,Fantasy,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Kenya-Health-KDP Tips-088,en,Kenya,Health,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-France-Tech-Audiobook-089,en,France,Tech,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Romance-KDP Tips-090,fr,Global,Romance,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-Faith-Newsletter-091,en,South Africa,Faith,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-Thriller-Giveaway-092,fr,South Africa,Thriller,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-History-Launch-093,en,Nigeria,History,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Tech-Giveaway-094,en,Canada,Tech,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Tech-KDP Tips-095,en,US,Tech,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cote d'Ivoire-Thriller-KDP Tips-096,fr,Cote d'Ivoire,Thriller,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Finance-Giveaway-097,fr,Nigeria,Finance,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-France-Self-Help-Giveaway-098,en,France,Self-Help,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-France-Business-Newsletter-099,fr,France,Business,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-History-Audiobook-100,fr,Canada,History,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Global-History-BookTube-101,fr,Global,History,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Self-Help-Review-102,fr,Nigeria,Self-Help,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-Fantasy-BookTok-103,en,India,Fantasy,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Finance-Newsletter-104,fr,Canada,Finance,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Self-Help-KDP Tips-105,en,Global,Self-Help,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-History-Audiobook-106,fr,US,History,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Poetry-Audiobook-107,en,US,Poetry,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-France-Politics-Audiobook-108,fr,France,Politics,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Thriller-Giveaway-109,en,Canada,Thriller,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-History-Launch-110,fr,Gabon,History,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Politics-Audiobook-111,en,UK,Politics,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cote d'Ivoire-Politics-KDP Tips-112,en,Cote d'Ivoire,Politics,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-Self-Help-BookTube-113,fr,UK,Self-Help,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Faith-Audiobook-114,en,UK,Faith,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-India-Finance-Launch-115,fr,India,Finance,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-History-Audiobook-116,fr,Gabon,History,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Cote d'Ivoire-Romance-Review-117,en,Cote d'Ivoire,Romance,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Health-Newsletter-118,fr,Nigeria,Health,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-Business-Review-119,fr,Nigeria,Business,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-South Africa-Fantasy-BookTok-120,en,South Africa,Fantasy,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Tech-BookTube-121,en,India,Tech,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Poetry-Review-122,en,Gabon,Poetry,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cote d'Ivoire-Politics-KDP Tips-123,en,Cote d'Ivoire,Politics,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Tech-KDP Tips-124,fr,Kenya,Tech,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-Health-Giveaway-125,fr,Global,Health,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cote d'Ivoire-Tech-KDP Tips-126,fr,Cote d'Ivoire,Tech,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Global-Finance-BookTube-127,fr,Global,Finance,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-France-Poetry-BookTok-128,fr,France,Poetry,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-US-Thriller-Audiobook-129,en,US,Thriller,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Poetry-Audiobook-130,fr,US,Poetry,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-Thriller-Giveaway-131,en,Global,Thriller,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Tech-Launch-132,fr,Gabon,Tech,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Thriller-BookTok-133,fr,Canada,Thriller,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Faith-Review-134,en,India,Faith,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Gabon-Finance-Giveaway-135,fr,Gabon,Finance,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-India-History-BookTok-136,en,India,History,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Business-BookTok-137,fr,US,Business,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Kenya-Faith-KDP Tips-138,fr,Kenya,Faith,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Romance-Launch-139,en,US,Romance,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Fantasy-Newsletter-140,en,UK,Fantasy,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Business-BookTok-141,en,Kenya,Business,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Business-Giveaway-142,en,Canada,Business,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Gabon-Health-BookTok-143,fr,Gabon,Health,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Thriller-Review-144,fr,India,Thriller,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-History-Giveaway-145,fr,Canada,History,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Faith-Giveaway-146,fr,India,Faith,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-UK-Business-Review-147,fr,UK,Business,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Gabon-Finance-Launch-148,en,Gabon,Finance,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Canada-History-Review-149,fr,Canada,History,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-India-Fantasy-Newsletter-150,fr,India,Fantasy,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Self-Help-Giveaway-151,fr,Nigeria,Self-Help,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Faith-BookTube-152,fr,South Africa,Faith,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Business-KDP Tips-153,en,Canada,Business,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Fantasy-KDP Tips-154,en,Canada,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Thriller-Newsletter-155,fr,Canada,Thriller,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-US-Fantasy-Newsletter-156,en,US,Fantasy,Newsletter,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Faith-Launch-157,en,South Africa,Faith,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Canada-Politics-Giveaway-158,en,Canada,Politics,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-Tech-Giveaway-159,en,Nigeria,Tech,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-UK-History-BookTube-160,en,UK,History,BookTube,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Kenya-Fantasy-Review-161,fr,Kenya,Fantasy,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-South Africa-Faith-Launch-162,en,South Africa,Faith,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
