Day,Channel,Format,Goal,Core message,CTA,Asset needed,Notes
25,Facebook,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
26,LinkedIn,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
27,Email,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
28,WhatsApp,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
29,TikTok,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
30,Instagram Reels,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
31,YouTube Shorts,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
32,Facebook,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
33,LinkedIn,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
34,Email,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
35,WhatsApp,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
36,TikTok,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
37,Instagram Reels,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
38,YouTube Shorts,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
39,Facebook,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
40,LinkedIn,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
41,Email,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
42,WhatsApp,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
43,TikTok,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
44,Instagram Reels,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
45,YouTube Shorts,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
46,Facebook,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
47,LinkedIn,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
48,Email,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
49,WhatsApp,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
50,TikTok,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
51,Instagram Reels,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
52,YouTube Shorts,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
53,Facebook,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
54,LinkedIn,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
55,Email,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
56,WhatsApp,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
57,TikTok,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
58,Instagram Reels,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
59,YouTube Shorts,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
60,Facebook,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
61,LinkedIn,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
62,Email,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
63,WhatsApp,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
64,TikTok,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
65,Instagram Reels,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
66,YouTube Shorts,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
67,Facebook,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
68,LinkedIn,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
69,Email,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
70,WhatsApp,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
71,TikTok,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
72,Instagram Reels,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
73,YouTube Shorts,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
74,Facebook,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
75,LinkedIn,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
76,Email,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
77,WhatsApp,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
78,TikTok,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
79,Instagram Reels,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
80,YouTube Shorts,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
81,Facebook,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
82,LinkedIn,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
83,Email,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
84,WhatsApp,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
85,TikTok,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
86,Instagram Reels,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
87,YouTube Shorts,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
88,Facebook,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
89,LinkedIn,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
90,Email,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
